field_1,Site,Sample_ID,Date_ddPCR,Sample.type,State,Well,Lab_ID,Target,Concentrat,Status,Experiment,Supermix,DyeName.s.,Accepted_D,Positives.,Negatives.,Concentr_1,Accepted_1,Positive_1,Negative_1,Concentr_2,Accepted_2,Positive_2,Negative_2,freq,Infected,Bd.load_co,Comments.x,GPS,Collection,DOY,Time,Hg_mean,Coloration,Size,Frog_posit,Sex,Male,Weight,SVL,leaf_litte,ground_veg,small_trun,large_trun,fallen_tre,woody,phyto,Type_phyto,Microhab_t,Ambient_te,canopy_ID,canopy_cov,Comments.y,DateTimeS,Elevation,DateTime,Lon,Lat,dist_to_ph,dist_to_tr,coords.x1,coords.x2,distance.y,dist_km,min_spent,hrs_spent,frogs_obse,ind_obs,ind_per_km,Area_m,Area_ha,HFI,scaled_SMI.rob,DNA_ng.ml
1,Cacao,23-Dt-181,17/05/2023,Frog swab,Wild,C05,DT48,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18926,0,18926,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,745,02/03/2023,61,10:35,2.72,blue,Small,Under fallen log,Female,0,3.91,3.7,20,2,0,0,3,35,FALSE,NA,28.7,25.8,IMG_4884,12.83,Logged tree,38:26.0,217.0595,03/02/2023 13:38,-52.427155,4.565381,52.53521886,4.791724163,1007775.543,506237.9601,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,1.274948523,2.28
2,Cacao,23-Dt-181,17/05/2023,Frog swab,Wild,C05,DT48,RAG1,37.8367691,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,18926,599,18327,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,745,02/03/2023,61,10:35,2.72,blue,Small,Under fallen log,Female,0,3.91,3.7,20,2,0,0,3,35,FALSE,NA,28.7,25.8,IMG_4884,12.83,Logged tree,38:26.0,217.0595,03/02/2023 13:38,-52.427155,4.565381,52.53521886,4.791724163,1007775.543,506237.9601,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,1.274948523,2.28
3,Cacao,23-Dt-182,17/05/2023,Frog swab,Wild,C06,DT49,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,21914,0,21914,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,746,02/03/2023,61,10:45,2.72,blue,Small,On dead wood,Female,0,4.45,4.12,50,10,1,1,2,80,FALSE,NA,26.3,25,IMG_4888,76.92,Logged trees,52:09.0,211.2069,03/02/2023 13:52,-52.426845,4.565909,62.32309239,24.72829602,1007809.666,506296.7286,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.26361656,-0.710819711,4.54
4,Cacao,23-Dt-183,27/07/2023,Frog swab,Wild,E09,DT150,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17523,0,17523,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,747,02/03/2023,61,15:45,2.72,blue,Small,Under dead wood,Male,1,2.69,3.7,80,15,1,0,1,65,FALSE,NA,24.2,24.4,IMG_4899,92.06,,48:45.0,193.8412,03/02/2023 18:48,-52.427195,4.56445,89.67585204,20.98606539,1007771.749,506134.6951,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,-1.40832907,5.2
5,Cacao,23-Dt-183,27/07/2023,Frog swab,Wild,E09,DT150,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,17523,0,17523,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,747,02/03/2023,61,15:45,2.72,blue,Small,Under dead wood,Male,1,2.69,3.7,80,15,1,0,1,65,FALSE,NA,24.2,24.4,IMG_4899,92.06,,48:45.0,193.8412,03/02/2023 18:48,-52.427195,4.56445,89.67585204,20.98606539,1007771.749,506134.6951,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,-1.40832907,5.2
6,Cacao,23-Dt-184,27/07/2023,Frog swab,Wild,F09,DT151,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19836,0,19836,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,748,05/03/2023,64,11:59,2.72,blue,Small,Tree roots,Juvenile,NA,0.42,1.71,100,7,3,1,0,15,FALSE,NA,24.5,24.2,IMG_4955,93.37,,00:03.0,228.7877,03/05/2023 15:00,-52.427977,4.564458,71.40753566,21.58126254,1007684.725,506135.0283,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,NA,5.94
7,Cacao,23-Dt-184,27/07/2023,Frog swab,Wild,F09,DT151,RAG1,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19836,0,19836,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,748,05/03/2023,64,11:59,2.72,blue,Small,Tree roots,Juvenile,NA,0.42,1.71,100,7,3,1,0,15,FALSE,NA,24.5,24.2,IMG_4955,93.37,,00:03.0,228.7877,03/05/2023 15:00,-52.427977,4.564458,71.40753566,21.58126254,1007684.725,506135.0283,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,NA,5.94
8,Cacao,23-Dt-182,17/05/2023,Frog swab,Wild,C06,DT49,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,21914,0,21914,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,746,02/03/2023,61,10:45,2.72,blue,Small,On dead wood,Female,0,4.45,4.12,50,10,1,1,2,80,FALSE,NA,26.3,25,IMG_4888,76.92,Logged trees,52:09.0,211.2069,03/02/2023 13:52,-52.426845,4.565909,62.32309239,24.72829602,1007809.666,506296.7286,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.26361656,-0.710819711,4.54
9,Cacao,23-Dt-189,27/07/2023,Frog swab,Wild,H10,DT161,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18733,0,18733,0,17645,0,17645,NA,NA,NA,NA,2,No,0,,788,08/03/2023,67,11:17,2.72,blue,Small,Next to fallen log,Male,1,2.63,3.43,95,3,3,0,1,25,FALSE,NA,24.4,26.4,IMG_5056,94.35,,11:18.0,136.9698,03/08/2023 14:11,-52.428264,4.588151,73.33999598,21.51501594,1007636.027,508762.0891,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.299759998,4.42
10,Cacao,23-Dt-189,27/07/2023,Frog swab,Wild,H10,DT161,RAG1,0.439696431,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,18733,7,18726,2.402731895,17645,36,17609,NA,NA,NA,NA,2,,NA,,788,08/03/2023,67,11:17,2.72,blue,Small,Next to fallen log,Male,1,2.63,3.43,95,3,3,0,1,25,FALSE,NA,24.4,26.4,IMG_5056,94.35,,11:18.0,136.9698,03/08/2023 14:11,-52.428264,4.588151,73.33999598,21.51501594,1007636.027,508762.0891,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.299759998,4.42
11,Cacao,23-Dt-190,27/07/2023,Frog swab,Wild,A11,DT162,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19846,0,19846,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,800,08/03/2023,67,13:47,2.72,blue,Small,Under fallen log,Juvenile,NA,1.37,2.74,100,3,0,2,1,10,FALSE,NA,24.9,25.9,IMG_5072,93.51,,33:55.0,210.4866,03/09/2023 11:33,-52.428441,4.564603,113.3166368,67.45709323,1007632.991,506150.7785,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,NA,5.36
12,Cacao,23-Dt-190,27/07/2023,Frog swab,Wild,A11,DT162,RAG1,0.948862314,Manual,DQ,ddPCR Supermix for Probes (No dUTP),HEX,19846,16,19830,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,,800,08/03/2023,67,13:47,2.72,blue,Small,Under fallen log,Juvenile,NA,1.37,2.74,100,3,0,2,1,10,FALSE,NA,24.9,25.9,IMG_5072,93.51,,33:55.0,210.4866,03/09/2023 11:33,-52.428441,4.564603,113.3166368,67.45709323,1007632.991,506150.7785,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,NA,5.36
