field_1,Site,Sample_ID,Date_ddPCR,Sample.type,State,Well,Lab_ID,Target,Concentrat,Status,Experiment,Supermix,DyeName.s.,Accepted_D,Positives.,Negatives.,Concentr_1,Accepted_1,Positive_1,Negative_1,Concentr_2,Accepted_2,Positive_2,Negative_2,freq,Infected,Bd.load_co,Comments.x,GPS,Collection,DOY,Time,Hg_mean,Coloration,Size,Frog_posit,Sex,Male,Weight,SVL,leaf_litte,ground_veg,small_trun,large_trun,fallen_tre,woody,phyto,Type_phyto,Microhab_t,Ambient_te,canopy_ID,canopy_cov,Comments.y,DateTimeS,Elevation,DateTime,Lon,Lat,dist_to_ph,dist_to_tr,coords.x1,coords.x2,distance.y,dist_km,min_spent,hrs_spent,frogs_obse,ind_obs,ind_per_km,Area_m,Area_ha,HFI,SMI.rob,scaled_SMI.rob,DNA_ng.ml
1,Cacao,23-Dt-181,17/05/2023,Frog swab,Wild,C05,DT48,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18926,0,18926,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,745,02/03/2023,61,10:35,2.72,blue,Small,Under fallen log,Female,0,3.91,3.7,20,2,0,0,3,35,FALSE,NA,28.7,25.8,IMG_4884,12.83,Logged tree,38:26.0,217.0595,03/02/2023 13:38,-52.427155,4.565381,52.53521886,4.791724163,1007775.543,506237.9601,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,0.679549278,1.274948523,2.28
2,Cacao,23-Dt-183,27/07/2023,Frog swab,Wild,E09,DT150,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17523,0,17523,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,747,02/03/2023,61,15:45,2.72,blue,Small,Under dead wood,Male,1,2.69,3.7,80,15,1,0,1,65,FALSE,NA,24.2,24.4,IMG_4899,92.06,,48:45.0,193.8412,03/02/2023 18:48,-52.427195,4.56445,89.67585204,20.98606539,1007771.749,506134.6951,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,0.467516,-1.40832907,5.2
3,Cacao,23-Dt-184,27/07/2023,Frog swab,Wild,F09,DT151,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19836,0,19836,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,748,05/03/2023,64,11:59,2.72,blue,Small,Tree roots,Juvenile,NA,0.42,1.71,100,7,3,1,0,15,FALSE,NA,24.5,24.2,IMG_4955,93.37,,00:03.0,228.7877,03/05/2023 15:00,-52.427977,4.564458,71.40753566,21.58126254,1007684.725,506135.0283,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,0.655794947,NA,5.94
4,Cacao,23-Dt-182,17/05/2023,Frog swab,Wild,C06,DT49,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,21914,0,21914,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,746,02/03/2023,61,10:45,2.72,blue,Small,On dead wood,Female,0,4.45,4.12,50,10,1,1,2,80,FALSE,NA,26.3,25,IMG_4888,76.92,Logged trees,52:09.0,211.2069,03/02/2023 13:52,-52.426845,4.565909,62.32309239,24.72829602,1007809.666,506296.7286,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.26361656,0.569614925,-0.710819711,4.54
5,Cacao,23-Dt-189,27/07/2023,Frog swab,Wild,H10,DT161,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18733,0,18733,0,17645,0,17645,NA,NA,NA,NA,2,No,0,,788,08/03/2023,67,11:17,2.72,blue,Small,Next to fallen log,Male,1,2.63,3.43,95,3,3,0,1,25,FALSE,NA,24.4,26.4,IMG_5056,94.35,,11:18.0,136.9698,03/08/2023 14:11,-52.428264,4.588151,73.33999598,21.51501594,1007636.027,508762.0891,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.567027184,0.299759998,4.42
6,Cacao,23-Dt-190,27/07/2023,Frog swab,Wild,A11,DT162,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,19846,0,19846,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,800,08/03/2023,67,13:47,2.72,blue,Small,Under fallen log,Juvenile,NA,1.37,2.74,100,3,0,2,1,10,FALSE,NA,24.9,25.9,IMG_5072,93.51,,33:55.0,210.4866,03/09/2023 11:33,-52.428441,4.564603,113.3166368,67.45709323,1007632.991,506150.7785,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.29695129,0.559533599,NA,5.36
7,Cacao,23-Dt-191,27/07/2023,Frog swab,Wild,B11,DT163,Bd,1.138725281,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17572,17,17555,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,1.138725281,,819,14/03/2023,73,09:50,2.72,blue,Small,Under fallen log,Female,0,3.88,3.79,75,10,0,1,1,20,FALSE,NA,24.7,25.3,IMG_5205,93.08,,53:53.0,151.5208,3/14/2023 12:53,-52.430326,4.587667,23.54494706,2.228932822,1007406.926,508706.9523,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.629777367,0.493205237,4.54
8,Cacao,23-Dt-192,27/07/2023,Frog swab,Wild,C11,DT164,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18822,0,18822,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,750,06/03/2023,65,10:00,2.72,blue,Small,Under fallen log,Male,1,2.18,3.4,80,15,0,1,1,10,FALSE,NA,24.3,25,IMG_4963,90.15,skinny and milky right eye,11:19.0,169.7741,03/06/2023 13:11,-52.430332,4.587596,23.88986036,5.725009514,1007406.309,508699.075,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.481899824,-0.799165849,5.52
9,Cacao,23-Dt-193,27/07/2023,Frog swab,Wild,D11,DT165,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,8854,0,8854,0.064860411,18139,1,18138,NA,NA,NA,NA,2,No,0,,820,15/03/2023,74,11:00,2.72,blue,Small,Under fallen log,Male,1,3.22,3.51,50,5,0,0,1,80,FALSE,NA,24.9,26.4,IMG_5219,97.33,,10:13.0,155.675,3/15/2023 14:10,-52.432709,4.586905,64.90693102,3.535209423,1007142.304,508620.7615,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.37508202,0.650163472,1.2577571,4.62
10,Cacao,23-Dt-194,27/07/2023,Frog swab,Wild,E11,DT166,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,16677,0,16677,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,821,15/03/2023,74,13:00,2.72,blue,Small,Under fallen log,Male,1,2.84,3.66,60,3,1,0,1,3,FALSE,NA,25.4,25.4,IMG_5222,92.79,,05:36.0,121.0197,3/15/2023 16:05,-52.429029,4.589662,47.26116011,13.5338925,1007549.831,508929.0959,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.509084816,-0.825968057,4.44
11,Cacao,23-Dt-185,27/07/2023,Frog swab,Wild,G09,DT152,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17871,0,17871,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,749,06/03/2023,65,09:55,2.72,blue,Small,Undef fallen log,Female,0,4.79,4.07,100,5,1,0,1,5,FALSE,NA,24.3,25,IMG_4966,94.94,Interacting with 23-Dt-187,35:51.0,206.4861,03/08/2023 15:35,-52.425129,4.56643,79.10432013,61.86089062,1008000.248,506355.7175,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.26361656,0.634805112,0.118523437,5.32
12,Cacao,23-Dt-186,27/07/2023,Frog swab,Wild,H09,DT153,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20029,0,20029,NA,NA,NA,NA,NA,NA,NA,NA,1,No,0,,759,06/03/2023,65,13:32,2.72,blue,Small,Under dead wood,Female,0,3.2,3.86,95,2,4,0,1,25,FALSE,NA,24.8,26.6,IMG_4981,96.03,,32:55.0,172.7128,03/06/2023 16:32,-52.430729,4.587009,54.22780165,50.86176203,1007362.55,508633.7017,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.37508202,0.493057272,-1.293039179,5.12
13,Cacao,23-Dt-187,27/07/2023,Frog swab,Wild,A10,DT154,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20135,0,20135,0,15823,0,15823,NA,NA,NA,NA,2,No,0,,749,06/03/2023,65,09:55,2.72,blue,Small,Under fallen log,Male,1,2.91,3.4,100,5,1,0,1,5,FALSE,NA,24.3,25,IMG_4966,94.94,Interacting with 23-Dt-185,00:51.0,166.3775,03/06/2023 13:00,-52.430349,4.587759,29.70601033,4.748893599,1007404.302,508717.1375,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.643269948,1.386002211,4.64
14,Cacao,23-Dt-188,27/07/2023,Frog swab,Wild,B10,DT155,Bd,0,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,17451,0,17451,0,15605,0,15605,NA,NA,NA,NA,2,No,0,,782,08/03/2023,67,10:10,2.72,blue,Small,Under fallen log,Female,0,4.55,4,75,40,1,0,2,5,FALSE,NA,24.7,25.7,IMG_5047,94.12,,16:39.0,138.3,03/08/2023 13:16,-52.428388,4.589004,107.8383013,11.46774177,1007621.624,508856.5881,33651,34,2521,42.01666667,18,15,0.46,261859,26,10.56224918,0.633501358,0.20712536,4.56
15,Kaw,23-Dt-001,17/05/2023,Frog swab,Wild,A01,DT14,Bd,1.221763134,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,20232,21,20211,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,1.221763134,,295,18/01/2023,18,09:00,1.3,blue,Small,"Leaf litter, under plant",Female,0,4.4,3.378,100,30,14,0,0,0,FALSE,NA,22.5,22.9,IMG_3253,94.28,,48:05.0,128.413193,1/18/2023 11:48,-52.043816,4.503134,36.28338393,56.24152826,1050491.117,499614.7816,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.6569,3.423267706,too low
16,Kaw,23-Dt-002,17/05/2023,Frog swab,Wild,A02,DT15,Bd,0.438502371,Manual,DQ,ddPCR Supermix for Probes (No dUTP),FAM,18784,7,18777,0.258465558,18209,4,18205,NA,NA,NA,NA,2,Yes,0.348483965,,296,18/01/2023,18,09:09,1.3,blue,Small,"Leaf litter, under plant",Female,0,3.69,3.84,80,50,7,0,0,3,FALSE,NA,23.3,23.6,IMG_3255,96.6,,08:47.0,132.940399,1/18/2023 12:08,-52.043558,4.503418,58.43300718,22.33165778,1050519.63,499646.4868,34299,34,2530,42.16666667,62,57,1.49,118145,12,4.475565434,0.577020253,-0.225843421,too low
